Claim Number,AGE, INCOME ,MARITAL_STATUS,EDUCATION,MVR_POINTS,CAR_AGE,LOCATION, OLD_CLAIM ,PREMIUM
73,49, $-   ,Yes,Masters,6,14,Highly Urban/ Urban," $9,115.00 "," $11,393.75 "
74,44," $139,330.00 ",No,High School,0,1,Highly Rural/ Rural, $-   , $-   
75,50," $163,296.00 ",No,PhD,0,14,Highly Rural/ Rural, $-   , $-   
76,30," $17,455.00 ",No,<High School,0,6,Highly Rural/ Rural, $-   , $-   
77,54," $71,007.00 ",Yes,Bachelors,0,11,Highly Urban/ Urban, $-   , $-   
78,53," $38,036.00 ",Yes,High School,4,1,Highly Urban/ Urban, $-   , $-   
79,53," $41,199.00 ",No,Bachelors,0,8,Highly Urban/ Urban, $-   , $-   
80,29," $38,042.00 ",No,High School,0,1,Highly Urban/ Urban, $-   , $-   
81,58," $91,223.00 ",No,Masters,0,14,Highly Urban/ Urban, $-   , $-   
82,55," $45,787.00 ",Yes,Masters,0,13,Highly Urban/ Urban, $-   , $-   
83,55," $84,964.00 ",Yes,Bachelors,6,11,Highly Urban/ Urban, $969.00 ," $1,211.25 "
84,56," $38,240.00 ",Yes,High School,0,4,Highly Rural/ Rural, $-   , $-   
85,34," $51,565.00 ",No,Masters,3,15,Highly Urban/ Urban, $759.00 , $948.75 
86,34, $-   ,Yes,High School,2,1,Highly Urban/ Urban," $1,800.00 "," $2,250.00 "
87,36," $105,384.00 ",Yes,Masters,4,17,Highly Urban/ Urban," $31,695.00 "," $39,618.75 "
88,41," $66,265.00 ",Yes,Masters,1,9,Highly Urban/ Urban, $-   , $-   
89,46," $85,468.00 ",No,Masters,6,17,Highly Urban/ Urban," $4,678.00 "," $5,847.50 "
90,42," $76,226.00 ",Yes,Bachelors,0,14,Highly Urban/ Urban, $-   , $-   
91,38," $7,528.00 ",Yes,<High School,0,8,Highly Rural/ Rural, $-   , $-   
92,33, $-   ,No,High School,2,5,Highly Urban/ Urban," $1,631.00 "," $2,038.75 "
93,37," $16,843.00 ",Yes,Bachelors,3,6,Highly Urban/ Urban, $-   , $-   
94,42," $32,797.00 ",Yes,Masters,2,14,Highly Urban/ Urban, $-   , $-   
95,47," $44,705.00 ",Yes,Bachelors,0,10,Highly Urban/ Urban," $1,533.00 "," $1,916.25 "
96,52," $68,992.00 ",No,Bachelors,3,10,Highly Rural/ Rural, $-   , $-   
97,43," $132,561.00 ",No,Masters,0,1,Highly Urban/ Urban," $12,294.00 "," $15,367.50 "
98,66," $96,830.00 ",Yes,Masters,0,16,Highly Urban/ Urban, $-   , $-   
99,52," $64,014.00 ",Yes,<High School,1,5,Highly Urban/ Urban," $8,882.00 "," $11,102.50 "
100,38, $-   ,Yes,High School,0,10,Highly Rural/ Rural, $-   , $-   
101,47," $91,929.00 ",Yes,Bachelors,0,13,Highly Urban/ Urban, $-   , $-   
102,37," $123,520.00 ",Yes,Bachelors,0,9,Highly Urban/ Urban, $-   , $-   
103,47," $45,257.00 ",Yes,Bachelors,0,9,Highly Urban/ Urban, $-   , $-   
104,61," $41,857.00 ",Yes,Masters,0,21,Highly Urban/ Urban, $-   , $-   
105,41," $126,468.00 ",No,Masters,2,18,Highly Urban/ Urban, $-   , $-   
106,40," $75,516.00 ",Yes,High School,0,6,Highly Rural/ Rural, $-   , $-   
107,52," $76,954.00 ",No,Bachelors,0,11,Highly Urban/ Urban, $-   , $-   
108,58," $150,352.00 ",Yes,Masters,0,17,Highly Urban/ Urban, $-   , $-   
109,38," $37,580.00 ",Yes,<High School,0,1,Highly Urban/ Urban, $867.00 ," $1,083.75 "
110,41," $23,344.00 ",Yes,High School,1,1,Highly Urban/ Urban, $-   , $-   
111,37," $43,290.00 ",Yes,Bachelors,0,10,Highly Urban/ Urban, $-   , $-   
112,48," $48,737.00 ",Yes,Bachelors,1,1,Highly Urban/ Urban, $-   , $-   
113,47," $64,259.00 ",Yes,High School,3,9,Highly Urban/ Urban," $9,526.00 "," $11,907.50 "
114,41," $12,541.00 ",No,<High School,0,1,Highly Rural/ Rural, $-   , $-   
115,47," $104,271.00 ",Yes,Masters,0,11,Highly Urban/ Urban, $-   , $-   
116,44," $67,278.00 ",Yes,Masters,0,16,Highly Rural/ Rural, $-   , $-   
117,46," $104,990.00 ",No,Bachelors,0,7,Highly Urban/ Urban, $-   , $-   
118,49," $89,948.00 ",No,Bachelors,4,9,Highly Urban/ Urban, $-   , $-   
119,33," $111,427.00 ",Yes,Masters,3,4,Highly Urban/ Urban, $-   , $-   
120,43," $76,159.00 ",No,Bachelors,0,9,Highly Urban/ Urban, $-   , $-   
121,62," $107,734.00 ",No,PhD,0,15,Highly Urban/ Urban, $-   , $-   
122,42, $-   ,No,<High School,5,1,Highly Urban/ Urban, $-   , $-   
123,36," $25,282.00 ",No,High School,0,1,Highly Rural/ Rural, $-   , $-   
124,47," $18,549.00 ",Yes,Masters,0,14,Highly Urban/ Urban, $-   , $-   
125,50," $37,481.00 ",Yes,High School,0,7,Highly Urban/ Urban, $-   , $-   
126,51," $50,166.00 ",No,High School,0,1,Highly Urban/ Urban," $50,701.00 "," $63,376.25 "
127,46," $73,872.00 ",Yes,Masters,0,16,Highly Rural/ Rural, $-   , $-   
128,50," $73,343.00 ",Yes,High School,4,8,Highly Urban/ Urban," $4,179.00 "," $5,223.75 "
129,43," $49,849.00 ",No,Masters,4,20,Highly Urban/ Urban," $3,622.00 "," $4,527.50 "
130,39," $12,054.00 ",Yes,<High School,4,1,Highly Urban/ Urban," $1,738.00 "," $2,172.50 "
131,43," $48,184.00 ",Yes,High School,5,1,Highly Urban/ Urban," $6,891.00 "," $8,613.75 "
132,60," $78,936.00 ",Yes,Masters,0,15,Highly Urban/ Urban, $-   , $-   
133,55, $-   ,No,<High School,0,1,Highly Rural/ Rural, $-   , $-   
134,40," $78,914.00 ",No,Bachelors,6,10,Highly Urban/ Urban," $6,803.00 "," $8,503.75 "
135,39," $77,125.00 ",Yes,Bachelors,1,13,Highly Urban/ Urban, $-   , $-   
136,38," $25,835.00 ",Yes,High School,1,12,Highly Urban/ Urban, $-   , $-   
137,42," $47,660.00 ",Yes,Masters,6,18,Highly Urban/ Urban, $974.00 ," $1,217.50 "
138,42," $123,143.00 ",No,Masters,3,14,Highly Urban/ Urban, $-   , $-   
139,49," $22,059.00 ",Yes,<High School,1,1,Highly Urban/ Urban, $-   , $-   
140,36," $50,750.00 ",No,Masters,7,14,Highly Urban/ Urban," $5,877.00 "," $7,346.25 "
141,34," $23,571.00 ",No,High School,0,7,Highly Urban/ Urban, $-   , $-   
142,49, $-   ,Yes,PhD,1,1,Highly Urban/ Urban, $-   , $-   
143,52," $35,631.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   , $-   
144,50," $129,234.00 ",No,PhD,0,14,Highly Urban/ Urban, $-   , $-   
145,53," $21,501.00 ",No,<High School,2,7,Highly Urban/ Urban," $6,175.00 "," $7,718.75 "
146,55," $55,409.00 ",Yes,Bachelors,0,14,Highly Rural/ Rural, $-   , $-   
147,40," $48,067.00 ",No,Bachelors,0,8,Highly Urban/ Urban, $-   , $-   
148,45," $64,867.00 ",Yes,Masters,0,10,Highly Urban/ Urban, $-   , $-   
149,80," $97,716.00 ",Yes,Bachelors,2,10,Highly Urban/ Urban, $-   , $-   
150,48," $39,613.00 ",Yes,High School,6,1,Highly Urban/ Urban," $7,437.00 "," $9,296.25 "
151,37," $23,576.00 ",No,High School,1,5,Highly Rural/ Rural, $-   , $-   
152,40," $49,780.00 ",No,<High School,0,1,Highly Rural/ Rural, $-   , $-   
153,45," $60,845.00 ",No,Bachelors,0,18,Highly Urban/ Urban, $-   , $-   
154,42," $136,344.00 ",No,PhD,0,17,Highly Urban/ Urban, $-   , $-   
155,36," $70,313.00 ",Yes,Bachelors,5,4,Highly Urban/ Urban," $7,650.00 "," $9,562.50 "
156,45," $23,773.00 ",No,High School,0,1,Highly Rural/ Rural, $-   , $-   
157,52," $115,713.00 ",No,Bachelors,0,11,Highly Rural/ Rural, $-   , $-   
158,41," $55,364.00 ",No,High School,3,1,Highly Rural/ Rural, $-   , $-   
159,36," $27,693.00 ",Yes,<High School,4,7,Highly Urban/ Urban," $19,385.00 "," $24,231.25 "
160,56, $-   ,Yes,Bachelors,0,9,Highly Urban/ Urban," $25,147.00 "," $31,433.75 "
161,53, $-   ,Yes,<High School,2,7,Highly Rural/ Rural," $1,175.00 "," $1,468.75 "
162,39," $32,936.00 ",No,High School,0,7,Highly Urban/ Urban, $-   , $-   
163,38," $33,151.00 ",Yes,Bachelors,0,9,Highly Rural/ Rural, $-   , $-   
164,45, $-   ,No,High School,0,1,Highly Urban/ Urban," $17,445.00 "," $21,806.25 "
165,46," $24,575.00 ",Yes,High School,0,9,Highly Rural/ Rural, $-   , $-   
166,43," $32,546.00 ",Yes,<High School,1,5,Highly Urban/ Urban, $-   , $-   
167,54, $-   ,No,Bachelors,6,9,Highly Urban/ Urban," $5,537.00 "," $6,921.25 "
168,55," $163,158.00 ",Yes,Masters,3,19,Highly Urban/ Urban, $-   , $-   
169,61," $58,212.00 ",Yes,<High School,3,1,Highly Rural/ Rural," $3,573.00 "," $4,466.25 "
170,53," $84,345.00 ",Yes,Bachelors,3,5,Highly Urban/ Urban, $-   , $-   
171,52," $24,590.00 ",Yes,High School,0,4,Highly Urban/ Urban," $1,507.00 "," $1,883.75 "
172,54," $107,808.00 ",Yes,Bachelors,0,6,Highly Urban/ Urban," $1,780.00 "," $2,225.00 "
173,51," $76,443.00 ",Yes,Masters,5,14,Highly Urban/ Urban," $5,958.00 "," $7,447.50 "
174,39," $59,685.00 ",Yes,High School,0,1,Highly Rural/ Rural, $-   , $-   
175,38," $90,647.00 ",Yes,Masters,0,15,Highly Rural/ Rural," $8,450.00 "," $10,562.50 "
176,42," $43,174.00 ",No,<High School,0,1,Highly Urban/ Urban, $-   , $-   
177,31," $30,653.00 ",No,High School,0,7,Highly Urban/ Urban," $35,666.00 "," $44,582.50 "
178,41, $-   ,No,Masters,0,17,Highly Rural/ Rural, $-   , $-   
179,36, $-   ,Yes,High School,5,10,Highly Urban/ Urban, $-   , $-   
180,49," $59,148.00 ",Yes,High School,0,1,Highly Urban/ Urban," $8,948.00 "," $11,185.00 "
181,47," $81,899.00 ",No,High School,0,1,Highly Urban/ Urban, $-   , $-   
182,45," $1,158.00 ",Yes,High School,0,1,Highly Rural/ Rural, $-   , $-   
183,53," $114,088.00 ",Yes,High School,0,8,Highly Urban/ Urban, $-   , $-   
184,51," $80,621.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   , $-   
185,51," $94,328.00 ",Yes,Masters,0,1,Highly Urban/ Urban, $-   , $-   
186,36," $49,703.00 ",No,Masters,0,20,Highly Urban/ Urban," $35,879.00 "," $44,848.75 "
187,43," $84,963.00 ",No,Bachelors,0,6,Highly Urban/ Urban," $6,836.00 "," $8,545.00 "
188,43," $55,799.00 ",Yes,High School,3,1,Highly Urban/ Urban," $8,569.00 "," $10,711.25 "
189,53," $25,289.00 ",Yes,<High School,0,7,Highly Urban/ Urban, $-   , $-   
190,40," $95,405.00 ",No,Masters,3,14,Highly Urban/ Urban, $-   , $-   
191,31," $26,112.00 ",Yes,<High School,0,5,Highly Rural/ Rural, $-   , $-   
192,58," $131,560.00 ",No,PhD,2,14,Highly Urban/ Urban, $-   , $-   
193,50," $90,566.00 ",No,Masters,0,18,Highly Urban/ Urban, $-   , $-   
194,45," $62,447.00 ",No,High School,0,1,Highly Urban/ Urban, $-   , $-   
195,46," $108,701.00 ",Yes,Masters,0,17,Highly Urban/ Urban, $-   , $-   
196,47," $94,774.00 ",No,High School,1,13,Highly Urban/ Urban," $3,460.00 "," $4,325.00 "
197,43," $72,357.00 ",Yes,Bachelors,0,7,Highly Urban/ Urban, $-   , $-   
198,48," $140,112.00 ",No,PhD,2,17,Highly Urban/ Urban, $-   , $-   
199,39," $19,016.00 ",No,High School,0,8,Highly Rural/ Rural, $-   , $-   
200,49, $-   ,No,High School,1,1,Highly Rural/ Rural, $-   , $-   
201,45," $19,909.00 ",Yes,<High School,0,1,Highly Urban/ Urban, $-   , $-   
202,36," $4,885.00 ",Yes,Masters,5,17,Highly Urban/ Urban," $5,486.00 "," $6,857.50 "
203,59," $119,382.00 ",No,Masters,0,16,Highly Urban/ Urban, $-   , $-   
204,60," $89,511.00 ",Yes,Masters,0,15,Highly Urban/ Urban," $4,470.00 "," $5,587.50 "
205,49," $107,375.00 ",Yes,Bachelors,0,9,Highly Urban/ Urban, $-   , $-   
206,45," $36,947.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   , $-   
207,34," $27,581.00 ",No,<High School,6,5,Highly Rural/ Rural, $-   , $-   
208,57," $8,212.00 ",Yes,<High School,0,4,Highly Urban/ Urban, $-   , $-   
209,33," $86,187.00 ",No,Bachelors,1,5,Highly Rural/ Rural, $-   , $-   
210,52," $42,255.00 ",No,High School,1,12,Highly Urban/ Urban, $-   , $-   
211,53," $37,646.00 ",Yes,High School,0,10,Highly Urban/ Urban," $7,462.00 "," $9,327.50 "
212,57," $84,977.00 ",Yes,Bachelors,2,9,Highly Urban/ Urban, $-   , $-   
213,37," $116,043.00 ",No,Bachelors,3,9,Highly Urban/ Urban, $-   , $-   
214,45," $89,479.00 ",Yes,Bachelors,0,8,Highly Urban/ Urban, $-   , $-   
215,38," $92,917.00 ",No,Bachelors,0,4,Highly Rural/ Rural, $722.00 , $902.50 
216,36," $29,741.00 ",No,<High School,0,7,Highly Urban/ Urban," $2,797.00 "," $3,496.25 "
217,51," $3,673.00 ",Yes,High School,0,1,Highly Rural/ Rural, $-   , $-   
218,39," $61,370.00 ",No,Masters,0,12,Highly Urban/ Urban," $35,577.00 "," $44,471.25 "
219,51," $32,159.00 ",No,<High School,2,6,Highly Rural/ Rural, $-   , $-   
220,40," $20,126.00 ",No,<High School,0,1,Highly Urban/ Urban, $-   , $-   
221,54," $44,782.00 ",No,<High School,0,9,Highly Urban/ Urban, $-   , $-   
222,34," $59,828.00 ",No,Bachelors,0,13,Highly Urban/ Urban, $-   , $-   
223,41," $74,022.00 ",Yes,Masters,0,12,Highly Urban/ Urban," $4,418.00 "," $5,522.50 "
224,36," $80,256.00 ",Yes,Bachelors,1,15,Highly Urban/ Urban," $2,592.00 "," $3,240.00 "
225,55," $6,094.00 ",Yes,High School,1,1,Highly Urban/ Urban," $2,631.00 "," $3,288.75 "
226,45, $-   ,Yes,Masters,1,11,Highly Urban/ Urban," $9,062.00 "," $11,327.50 "
227,45," $30,085.00 ",Yes,<High School,3,8,Highly Urban/ Urban, $-   , $-   
228,50," $80,241.00 ",No,Masters,7,11,Highly Urban/ Urban," $7,628.00 "," $9,535.00 "
229,55," $55,673.00 ",Yes,Bachelors,0,13,Highly Urban/ Urban, $-   , $-   
230,44," $32,317.00 ",No,High School,8,1,Highly Urban/ Urban," $3,738.00 "," $4,672.50 "
231,50," $58,762.00 ",No,Masters,0,8,Highly Urban/ Urban," $5,253.00 "," $6,566.25 "
232,60," $76,899.00 ",Yes,PhD,0,14,Highly Urban/ Urban," $45,574.00 "," $56,967.50 "
233,40," $48,640.00 ",No,High School,0,4,Highly Rural/ Rural, $-   , $-   
234,57," $78,592.00 ",Yes,High School,0,8,Highly Urban/ Urban," $9,462.00 "," $11,827.50 "
235,47," $21,282.00 ",Yes,High School,3,5,Highly Urban/ Urban," $6,544.00 "," $8,180.00 "
236,64," $61,521.00 ",Yes,Masters,8,9,Highly Urban/ Urban, $-   , $-   
237,34," $105,554.00 ",No,Masters,2,20,Highly Urban/ Urban," $7,504.00 "," $9,380.00 "
238,52," $147,666.00 ",Yes,Masters,0,17,Highly Rural/ Rural, $-   , $-   
239,42," $69,290.00 ",No,Masters,1,11,Highly Urban/ Urban," $1,052.00 "," $1,315.00 "
240,45," $2,954.00 ",No,<High School,4,5,Highly Urban/ Urban," $10,099.00 "," $12,623.75 "
241,54," $105,762.00 ",No,Masters,2,18,Highly Urban/ Urban, $-   , $-   
242,42," $79,185.00 ",Yes,Bachelors,5,1,Highly Urban/ Urban," $6,689.00 "," $8,361.25 "
243,56," $111,702.00 ",No,PhD,0,17,Highly Urban/ Urban, $-   , $-   
244,59," $5,005.00 ",No,High School,0,4,Highly Urban/ Urban, $-   , $-   
245,35," $13,760.00 ",No,High School,3,1,Highly Urban/ Urban," $10,177.00 "," $12,721.25 "
246,54," $88,668.00 ",Yes,PhD,1,14,Highly Urban/ Urban," $10,520.00 "," $13,150.00 "
247,50," $2,657.00 ",Yes,Masters,2,11,Highly Urban/ Urban," $20,452.00 "," $25,565.00 "
248,29," $51,122.00 ",Yes,Bachelors,9,9,Highly Urban/ Urban," $19,030.00 "," $23,787.50 "
249,57," $28,123.00 ",No,High School,0,1,Highly Urban/ Urban," $10,231.00 "," $12,788.75 "
250,43," $97,953.00 ",No,Bachelors,4,9,Highly Urban/ Urban," $4,784.00 "," $5,980.00 "
251,44, $-   ,Yes,Bachelors,2,8,Highly Urban/ Urban," $35,430.00 "," $44,287.50 "
252,38," $83,937.00 ",Yes,Bachelors,0,10,Highly Urban/ Urban," $10,851.00 "," $13,563.75 "
253,37," $96,188.00 ",No,Bachelors,1,10,Highly Urban/ Urban, $-   , $-   
254,55," $17,820.00 ",Yes,Bachelors,3,8,Highly Rural/ Rural," $6,913.00 "," $8,641.25 "
255,51," $62,894.00 ",Yes,Bachelors,0,10,Highly Rural/ Rural, $-   , $-   
256,42," $68,090.00 ",No,Bachelors,3,12,Highly Urban/ Urban," $9,261.00 "," $11,576.25 "
257,45," $25,032.00 ",No,High School,5,1,Highly Rural/ Rural," $5,771.00 "," $7,213.75 "
258,54," $52,078.00 ",Yes,Masters,4,18,Highly Urban/ Urban," $5,039.00 "," $6,298.75 "
259,48," $22,633.00 ",Yes,Bachelors,0,9,Highly Urban/ Urban, $-   , $-   
260,50, $-   ,Yes,<High School,0,1,Highly Rural/ Rural, $-   , $-   
261,25," $51,544.00 ",No,High School,8,1,Highly Urban/ Urban," $7,767.00 "," $9,708.75 "
262,35," $72,389.00 ",No,PhD,2,10,Highly Urban/ Urban," $8,185.00 "," $10,231.25 "
263,29," $73,842.00 ",No,High School,4,1,Highly Urban/ Urban," $4,769.00 "," $5,961.25 "
264,45, $-   ,No,<High School,3,1,Highly Urban/ Urban," $41,818.00 "," $52,272.50 "
265,37," $80,935.00 ",No,Bachelors,0,9,Highly Urban/ Urban, $663.00 , $828.75 
266,56," $109,521.00 ",Yes,PhD,2,17,Highly Urban/ Urban, $-   , $-   
267,45," $71,969.00 ",No,Masters,0,1,Highly Urban/ Urban, $-   , $-   
268,48," $69,414.00 ",No,Bachelors,1,10,Highly Rural/ Rural, $-   , $-   
269,52," $37,295.00 ",No,<High School,0,1,Highly Rural/ Rural, $-   , $-   
270,40," $50,224.00 ",No,High School,6,5,Highly Urban/ Urban," $1,937.00 "," $2,421.25 "
271,41," $109,957.00 ",Yes,Masters,1,18,Highly Urban/ Urban, $-   , $-   
272,44," $44,141.00 ",Yes,PhD,0,0,Highly Urban/ Urban," $7,401.00 "," $9,251.25 "
273,54," $30,388.00 ",No,Masters,0,13,Highly Urban/ Urban," $27,130.00 "," $33,912.50 "
274,42," $85,752.00 ",Yes,Masters,2,19,Highly Urban/ Urban, $-   , $-   
275,50," $8,345.00 ",Yes,<High School,0,5,Highly Rural/ Rural, $-   , $-   
276,38," $10,486.00 ",Yes,<High School,4,5,Highly Urban/ Urban," $5,702.00 "," $7,127.50 "
277,36," $33,284.00 ",Yes,High School,0,10,Highly Urban/ Urban, $-   , $-   
278,62," $33,713.00 ",Yes,Bachelors,0,15,Highly Urban/ Urban," $41,913.00 "," $52,391.25 "
279,47," $144,957.00 ",No,PhD,4,1,Highly Urban/ Urban, $-   , $-   
280,46," $79,317.00 ",Yes,High School,7,6,Highly Urban/ Urban," $4,263.00 "," $5,328.75 "
281,42," $64,705.00 ",No,Masters,6,19,Highly Urban/ Urban," $10,375.00 "," $12,968.75 "
282,33, $-   ,Yes,<High School,3,1,Highly Urban/ Urban," $8,118.00 "," $10,147.50 "
283,43," $142,297.00 ",No,PhD,0,14,Highly Urban/ Urban, $-   , $-   
284,45," $94,325.00 ",Yes,Masters,2,14,Highly Urban/ Urban, $-   , $-   
285,55," $72,337.00 ",Yes,PhD,2,11,Highly Urban/ Urban, $-   , $-   
286,27," $1,212.00 ",Yes,High School,2,5,Highly Urban/ Urban, $-   , $-   
287,41," $157,237.00 ",No,Masters,0,15,Highly Urban/ Urban, $-   , $-   
288,40," $5,322.00 ",Yes,Bachelors,3,1,Highly Urban/ Urban," $5,489.00 "," $6,861.25 "
289,57," $51,737.00 ",Yes,High School,1,11,Highly Rural/ Rural, $-   , $-   
290,64," $38,020.00 ",Yes,High School,0,3,Highly Urban/ Urban, $-   , $-   
291,32," $60,050.00 ",No,High School,2,1,Highly Urban/ Urban," $17,493.00 "," $21,866.25 "
