Claim Number,AGE, INCOME ,MARITAL_STATUS,EDUCATION,MVR_POINTS,CAR_AGE,LOCATION, OLD_CLAIM ,PREMIUM
46,53," $107,259.00 ",Yes,Masters,0,15,Highly Urban/ Urban, $-   ,#REF!
47,39," $34,046.00 ",Yes,High School,0,5,Highly Rural/ Rural, $-   ,#REF!
48,33," $32,364.00 ",Yes,<High School,3,1,Highly Urban/ Urban, $-   ,#REF!
49,59," $106,775.00 ",No,Masters,0,14,Highly Urban/ Urban, $-   ,#REF!
50,40," $16,989.00 ",No,<High School,13,6,Highly Urban/ Urban," $26,104.00 ",#REF!
51,44," $16,352.00 ",Yes,High School,1,1,Highly Urban/ Urban," $7,838.00 ",#REF!
52,56," $44,760.00 ",Yes,Bachelors,0,6,Highly Urban/ Urban, $-   ,#REF!
53,45," $63,952.00 ",Yes,Masters,0,13,Highly Urban/ Urban," $27,877.00 ",#REF!
54,48, $-   ,Yes,Bachelors,1,10,Highly Urban/ Urban," $1,554.00 ",#REF!
55,44," $24,060.00 ",No,Bachelors,0,10,Highly Urban/ Urban, $-   ,#REF!
56,33," $20,822.00 ",Yes,High School,0,1,Highly Urban/ Urban," $7,896.00 ",#REF!
57,32," $54,968.00 ",Yes,High School,0,8,Highly Urban/ Urban, $-   ,#REF!
58,34," $14,194.00 ",No,<High School,2,10,Highly Urban/ Urban," $24,767.00 ",#REF!
59,38," $2,149.00 ",Yes,<High School,2,1,Highly Urban/ Urban, $-   ,#REF!
60,43," $137,103.00 ",No,Masters,0,15,Highly Urban/ Urban," $8,890.00 ",#REF!
61,49," $129,261.00 ",No,PhD,2,18,Highly Urban/ Urban," $34,351.00 ",#REF!
62,46," $79,538.00 ",No,Bachelors,2,11,Highly Urban/ Urban, $-   ,#REF!
63,45," $185,836.00 ",Yes,PhD,6,20,Highly Urban/ Urban," $4,307.00 ",#REF!
64,46," $151,012.00 ",No,Masters,1,12,Highly Urban/ Urban, $-   ,#REF!
65,45," $61,931.00 ",Yes,Masters,0,14,Highly Urban/ Urban," $25,106.00 ",#REF!
66,63," $74,426.00 ",No,PhD,0,18,Highly Urban/ Urban, $-   ,#REF!
67,44," $74,722.00 ",Yes,Bachelors,0,1,Highly Urban/ Urban, $-   ,#REF!
68,45," $102,393.00 ",No,Bachelors,2,11,Highly Urban/ Urban, $-   ,#REF!
69,48, $-   ,Yes,High School,3,5,Highly Urban/ Urban," $8,363.00 ",#REF!
70,37," $62,080.00 ",Yes,Bachelors,1,3,Highly Urban/ Urban," $2,718.00 ",#REF!
71,35," $29,371.00 ",No,<High School,0,1,Highly Urban/ Urban, $-   ,#REF!
72,48," $31,773.00 ",Yes,High School,4,1,Highly Urban/ Urban," $1,212.00 ",#REF!
73,49, $-   ,Yes,Masters,6,14,Highly Urban/ Urban," $9,115.00 ",#REF!
74,44," $139,330.00 ",No,High School,0,1,Highly Rural/ Rural, $-   ,#REF!
75,50," $163,296.00 ",No,PhD,0,14,Highly Rural/ Rural, $-   ,#REF!
76,30," $17,455.00 ",No,<High School,0,6,Highly Rural/ Rural, $-   ,#REF!
77,54," $71,007.00 ",Yes,Bachelors,0,11,Highly Urban/ Urban, $-   ,#REF!
78,53," $38,036.00 ",Yes,High School,4,1,Highly Urban/ Urban, $-   ,#REF!
79,53," $41,199.00 ",No,Bachelors,0,8,Highly Urban/ Urban, $-   ,#REF!
80,29," $38,042.00 ",No,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
81,58," $91,223.00 ",No,Masters,0,14,Highly Urban/ Urban, $-   ,#REF!
82,55," $45,787.00 ",Yes,Masters,0,13,Highly Urban/ Urban, $-   ,#REF!
83,55," $84,964.00 ",Yes,Bachelors,6,11,Highly Urban/ Urban, $969.00 ,#REF!
84,56," $38,240.00 ",Yes,High School,0,4,Highly Rural/ Rural, $-   ,#REF!
85,34," $51,565.00 ",No,Masters,3,15,Highly Urban/ Urban, $759.00 ,#REF!
86,34, $-   ,Yes,High School,2,1,Highly Urban/ Urban," $1,800.00 ",#REF!
87,36," $105,384.00 ",Yes,Masters,4,17,Highly Urban/ Urban," $31,695.00 ",#REF!
88,41," $66,265.00 ",Yes,Masters,1,9,Highly Urban/ Urban, $-   ,#REF!
89,46," $85,468.00 ",No,Masters,6,17,Highly Urban/ Urban," $4,678.00 ",#REF!
90,42," $76,226.00 ",Yes,Bachelors,0,14,Highly Urban/ Urban, $-   ,#REF!
91,38," $7,528.00 ",Yes,<High School,0,8,Highly Rural/ Rural, $-   ,#REF!
92,33, $-   ,No,High School,2,5,Highly Urban/ Urban," $1,631.00 ",#REF!
93,37," $16,843.00 ",Yes,Bachelors,3,6,Highly Urban/ Urban, $-   ,#REF!
94,42," $32,797.00 ",Yes,Masters,2,14,Highly Urban/ Urban, $-   ,#REF!
95,47," $44,705.00 ",Yes,Bachelors,0,10,Highly Urban/ Urban," $1,533.00 ",#REF!
96,52," $68,992.00 ",No,Bachelors,3,10,Highly Rural/ Rural, $-   ,#REF!
97,43," $132,561.00 ",No,Masters,0,1,Highly Urban/ Urban," $12,294.00 ",#REF!
98,66," $96,830.00 ",Yes,Masters,0,16,Highly Urban/ Urban, $-   ,#REF!
99,52," $64,014.00 ",Yes,<High School,1,5,Highly Urban/ Urban," $8,882.00 ",#REF!
100,38, $-   ,Yes,High School,0,10,Highly Rural/ Rural, $-   ,#REF!
101,47," $91,929.00 ",Yes,Bachelors,0,13,Highly Urban/ Urban, $-   ,#REF!
102,37," $123,520.00 ",Yes,Bachelors,0,9,Highly Urban/ Urban, $-   ,#REF!
103,47," $45,257.00 ",Yes,Bachelors,0,9,Highly Urban/ Urban, $-   ,#REF!
104,61," $41,857.00 ",Yes,Masters,0,21,Highly Urban/ Urban, $-   ,#REF!
105,41," $126,468.00 ",No,Masters,2,18,Highly Urban/ Urban, $-   ,#REF!
106,40," $75,516.00 ",Yes,High School,0,6,Highly Rural/ Rural, $-   ,#REF!
107,52," $76,954.00 ",No,Bachelors,0,11,Highly Urban/ Urban, $-   ,#REF!
108,58," $150,352.00 ",Yes,Masters,0,17,Highly Urban/ Urban, $-   ,#REF!
109,38," $37,580.00 ",Yes,<High School,0,1,Highly Urban/ Urban, $867.00 ,#REF!
110,41," $23,344.00 ",Yes,High School,1,1,Highly Urban/ Urban, $-   ,#REF!
111,37," $43,290.00 ",Yes,Bachelors,0,10,Highly Urban/ Urban, $-   ,#REF!
112,48," $48,737.00 ",Yes,Bachelors,1,1,Highly Urban/ Urban, $-   ,#REF!
113,47," $64,259.00 ",Yes,High School,3,9,Highly Urban/ Urban," $9,526.00 ",#REF!
114,41," $12,541.00 ",No,<High School,0,1,Highly Rural/ Rural, $-   ,#REF!
115,47," $104,271.00 ",Yes,Masters,0,11,Highly Urban/ Urban, $-   ,#REF!
116,44," $67,278.00 ",Yes,Masters,0,16,Highly Rural/ Rural, $-   ,#REF!
117,46," $104,990.00 ",No,Bachelors,0,7,Highly Urban/ Urban, $-   ,#REF!
118,49," $89,948.00 ",No,Bachelors,4,9,Highly Urban/ Urban, $-   ,#REF!
119,33," $111,427.00 ",Yes,Masters,3,4,Highly Urban/ Urban, $-   ,#REF!
120,43," $76,159.00 ",No,Bachelors,0,9,Highly Urban/ Urban, $-   ,#REF!
121,62," $107,734.00 ",No,PhD,0,15,Highly Urban/ Urban, $-   ,#REF!
122,42, $-   ,No,<High School,5,1,Highly Urban/ Urban, $-   ,#REF!
123,36," $25,282.00 ",No,High School,0,1,Highly Rural/ Rural, $-   ,#REF!
124,47," $18,549.00 ",Yes,Masters,0,14,Highly Urban/ Urban, $-   ,#REF!
125,50," $37,481.00 ",Yes,High School,0,7,Highly Urban/ Urban, $-   ,#REF!
126,51," $50,166.00 ",No,High School,0,1,Highly Urban/ Urban," $50,701.00 ",#REF!
127,46," $73,872.00 ",Yes,Masters,0,16,Highly Rural/ Rural, $-   ,#REF!
128,50," $73,343.00 ",Yes,High School,4,8,Highly Urban/ Urban," $4,179.00 ",#REF!
129,43," $49,849.00 ",No,Masters,4,20,Highly Urban/ Urban," $3,622.00 ",#REF!
130,39," $12,054.00 ",Yes,<High School,4,1,Highly Urban/ Urban," $1,738.00 ",#REF!
131,43," $48,184.00 ",Yes,High School,5,1,Highly Urban/ Urban," $6,891.00 ",#REF!
132,60," $78,936.00 ",Yes,Masters,0,15,Highly Urban/ Urban, $-   ,#REF!
133,55, $-   ,No,<High School,0,1,Highly Rural/ Rural, $-   ,#REF!
134,40," $78,914.00 ",No,Bachelors,6,10,Highly Urban/ Urban," $6,803.00 ",#REF!
135,39," $77,125.00 ",Yes,Bachelors,1,13,Highly Urban/ Urban, $-   ,#REF!
136,38," $25,835.00 ",Yes,High School,1,12,Highly Urban/ Urban, $-   ,#REF!
137,42," $47,660.00 ",Yes,Masters,6,18,Highly Urban/ Urban, $974.00 ,#REF!
138,42," $123,143.00 ",No,Masters,3,14,Highly Urban/ Urban, $-   ,#REF!
139,49," $22,059.00 ",Yes,<High School,1,1,Highly Urban/ Urban, $-   ,#REF!
140,36," $50,750.00 ",No,Masters,7,14,Highly Urban/ Urban," $5,877.00 ",#REF!
141,34," $23,571.00 ",No,High School,0,7,Highly Urban/ Urban, $-   ,#REF!
142,49, $-   ,Yes,PhD,1,1,Highly Urban/ Urban, $-   ,#REF!
143,52," $35,631.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
144,50," $129,234.00 ",No,PhD,0,14,Highly Urban/ Urban, $-   ,#REF!
145,53," $21,501.00 ",No,<High School,2,7,Highly Urban/ Urban," $6,175.00 ",#REF!
146,55," $55,409.00 ",Yes,Bachelors,0,14,Highly Rural/ Rural, $-   ,#REF!
147,40," $48,067.00 ",No,Bachelors,0,8,Highly Urban/ Urban, $-   ,#REF!
148,45," $64,867.00 ",Yes,Masters,0,10,Highly Urban/ Urban, $-   ,#REF!
149,80," $97,716.00 ",Yes,Bachelors,2,10,Highly Urban/ Urban, $-   ,#REF!
150,48," $39,613.00 ",Yes,High School,6,1,Highly Urban/ Urban," $7,437.00 ",#REF!
151,37," $23,576.00 ",No,High School,1,5,Highly Rural/ Rural, $-   ,#REF!
152,40," $49,780.00 ",No,<High School,0,1,Highly Rural/ Rural, $-   ,#REF!
153,45," $60,845.00 ",No,Bachelors,0,18,Highly Urban/ Urban, $-   ,#REF!
154,42," $136,344.00 ",No,PhD,0,17,Highly Urban/ Urban, $-   ,#REF!
155,36," $70,313.00 ",Yes,Bachelors,5,4,Highly Urban/ Urban," $7,650.00 ",#REF!
156,45," $23,773.00 ",No,High School,0,1,Highly Rural/ Rural, $-   ,#REF!
157,52," $115,713.00 ",No,Bachelors,0,11,Highly Rural/ Rural, $-   ,#REF!
158,41," $55,364.00 ",No,High School,3,1,Highly Rural/ Rural, $-   ,#REF!
159,36," $27,693.00 ",Yes,<High School,4,7,Highly Urban/ Urban," $19,385.00 ",#REF!
160,56, $-   ,Yes,Bachelors,0,9,Highly Urban/ Urban," $25,147.00 ",#REF!
161,53, $-   ,Yes,<High School,2,7,Highly Rural/ Rural," $1,175.00 ",#REF!
162,39," $32,936.00 ",No,High School,0,7,Highly Urban/ Urban, $-   ,#REF!
163,38," $33,151.00 ",Yes,Bachelors,0,9,Highly Rural/ Rural, $-   ,#REF!
164,45, $-   ,No,High School,0,1,Highly Urban/ Urban," $17,445.00 ",#REF!
165,46," $24,575.00 ",Yes,High School,0,9,Highly Rural/ Rural, $-   ,#REF!
166,43," $32,546.00 ",Yes,<High School,1,5,Highly Urban/ Urban, $-   ,#REF!
167,54, $-   ,No,Bachelors,6,9,Highly Urban/ Urban," $5,537.00 ",#REF!
168,55," $163,158.00 ",Yes,Masters,3,19,Highly Urban/ Urban, $-   ,#REF!
169,61," $58,212.00 ",Yes,<High School,3,1,Highly Rural/ Rural," $3,573.00 ",#REF!
170,53," $84,345.00 ",Yes,Bachelors,3,5,Highly Urban/ Urban, $-   ,#REF!
171,52," $24,590.00 ",Yes,High School,0,4,Highly Urban/ Urban," $1,507.00 ",#REF!
172,54," $107,808.00 ",Yes,Bachelors,0,6,Highly Urban/ Urban," $1,780.00 ",#REF!
173,51," $76,443.00 ",Yes,Masters,5,14,Highly Urban/ Urban," $5,958.00 ",#REF!
174,39," $59,685.00 ",Yes,High School,0,1,Highly Rural/ Rural, $-   ,#REF!
175,38," $90,647.00 ",Yes,Masters,0,15,Highly Rural/ Rural," $8,450.00 ",#REF!
176,42," $43,174.00 ",No,<High School,0,1,Highly Urban/ Urban, $-   ,#REF!
177,31," $30,653.00 ",No,High School,0,7,Highly Urban/ Urban," $35,666.00 ",#REF!
178,41, $-   ,No,Masters,0,17,Highly Rural/ Rural, $-   ,#REF!
179,36, $-   ,Yes,High School,5,10,Highly Urban/ Urban, $-   ,#REF!
180,49," $59,148.00 ",Yes,High School,0,1,Highly Urban/ Urban," $8,948.00 ",#REF!
181,47," $81,899.00 ",No,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
182,45," $1,158.00 ",Yes,High School,0,1,Highly Rural/ Rural, $-   ,#REF!
183,53," $114,088.00 ",Yes,High School,0,8,Highly Urban/ Urban, $-   ,#REF!
184,51," $80,621.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
185,51," $94,328.00 ",Yes,Masters,0,1,Highly Urban/ Urban, $-   ,#REF!
186,36," $49,703.00 ",No,Masters,0,20,Highly Urban/ Urban," $35,879.00 ",#REF!
187,43," $84,963.00 ",No,Bachelors,0,6,Highly Urban/ Urban," $6,836.00 ",#REF!
188,43," $55,799.00 ",Yes,High School,3,1,Highly Urban/ Urban," $8,569.00 ",#REF!
189,53," $25,289.00 ",Yes,<High School,0,7,Highly Urban/ Urban, $-   ,#REF!
190,40," $95,405.00 ",No,Masters,3,14,Highly Urban/ Urban, $-   ,#REF!
191,31," $26,112.00 ",Yes,<High School,0,5,Highly Rural/ Rural, $-   ,#REF!
192,58," $131,560.00 ",No,PhD,2,14,Highly Urban/ Urban, $-   ,#REF!
193,50," $90,566.00 ",No,Masters,0,18,Highly Urban/ Urban, $-   ,#REF!
194,45," $62,447.00 ",No,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
195,46," $108,701.00 ",Yes,Masters,0,17,Highly Urban/ Urban, $-   ,#REF!
196,47," $94,774.00 ",No,High School,1,13,Highly Urban/ Urban," $3,460.00 ",#REF!
197,43," $72,357.00 ",Yes,Bachelors,0,7,Highly Urban/ Urban, $-   ,#REF!
198,48," $140,112.00 ",No,PhD,2,17,Highly Urban/ Urban, $-   ,#REF!
199,39," $19,016.00 ",No,High School,0,8,Highly Rural/ Rural, $-   ,#REF!
200,49, $-   ,No,High School,1,1,Highly Rural/ Rural, $-   ,#REF!
201,45," $19,909.00 ",Yes,<High School,0,1,Highly Urban/ Urban, $-   ,#REF!
202,36," $4,885.00 ",Yes,Masters,5,17,Highly Urban/ Urban," $5,486.00 ",#REF!
203,59," $119,382.00 ",No,Masters,0,16,Highly Urban/ Urban, $-   ,#REF!
204,60," $89,511.00 ",Yes,Masters,0,15,Highly Urban/ Urban," $4,470.00 ",#REF!
205,49," $107,375.00 ",Yes,Bachelors,0,9,Highly Urban/ Urban, $-   ,#REF!
206,45," $36,947.00 ",Yes,High School,0,1,Highly Urban/ Urban, $-   ,#REF!
207,34," $27,581.00 ",No,<High School,6,5,Highly Rural/ Rural, $-   ,#REF!
208,57," $8,212.00 ",Yes,<High School,0,4,Highly Urban/ Urban, $-   ,#REF!
209,33," $86,187.00 ",No,Bachelors,1,5,Highly Rural/ Rural, $-   ,#REF!
210,52," $42,255.00 ",No,High School,1,12,Highly Urban/ Urban, $-   ,#REF!
211,53," $37,646.00 ",Yes,High School,0,10,Highly Urban/ Urban," $7,462.00 ",#REF!
212,57," $84,977.00 ",Yes,Bachelors,2,9,Highly Urban/ Urban, $-   ,#REF!
213,37," $116,043.00 ",No,Bachelors,3,9,Highly Urban/ Urban, $-   ,#REF!
214,45," $89,479.00 ",Yes,Bachelors,0,8,Highly Urban/ Urban, $-   ,#REF!
215,38," $92,917.00 ",No,Bachelors,0,4,Highly Rural/ Rural, $722.00 ,#REF!
216,36," $29,741.00 ",No,<High School,0,7,Highly Urban/ Urban," $2,797.00 ",#REF!
217,51," $3,673.00 ",Yes,High School,0,1,Highly Rural/ Rural, $-   ,#REF!
218,39," $61,370.00 ",No,Masters,0,12,Highly Urban/ Urban," $35,577.00 ",#REF!
219,51," $32,159.00 ",No,<High School,2,6,Highly Rural/ Rural, $-   ,#REF!
220,40," $20,126.00 ",No,<High School,0,1,Highly Urban/ Urban, $-   ,#REF!
221,54," $44,782.00 ",No,<High School,0,9,Highly Urban/ Urban, $-   ,#REF!
222,34," $59,828.00 ",No,Bachelors,0,13,Highly Urban/ Urban, $-   ,#REF!
223,41," $74,022.00 ",Yes,Masters,0,12,Highly Urban/ Urban," $4,418.00 ",#REF!
224,36," $80,256.00 ",Yes,Bachelors,1,15,Highly Urban/ Urban," $2,592.00 ",#REF!
225,55," $6,094.00 ",Yes,High School,1,1,Highly Urban/ Urban," $2,631.00 ",#REF!
226,45, $-   ,Yes,Masters,1,11,Highly Urban/ Urban," $9,062.00 ",#REF!
227,45," $30,085.00 ",Yes,<High School,3,8,Highly Urban/ Urban, $-   ,#REF!
228,50," $80,241.00 ",No,Masters,7,11,Highly Urban/ Urban," $7,628.00 ",#REF!
229,55," $55,673.00 ",Yes,Bachelors,0,13,Highly Urban/ Urban, $-   ,#REF!
230,44," $32,317.00 ",No,High School,8,1,Highly Urban/ Urban," $3,738.00 ",#REF!
231,50," $58,762.00 ",No,Masters,0,8,Highly Urban/ Urban," $5,253.00 ",#REF!
232,60," $76,899.00 ",Yes,PhD,0,14,Highly Urban/ Urban," $45,574.00 ",#REF!
233,40," $48,640.00 ",No,High School,0,4,Highly Rural/ Rural, $-   ,#REF!
234,57," $78,592.00 ",Yes,High School,0,8,Highly Urban/ Urban," $9,462.00 ",#REF!
235,47," $21,282.00 ",Yes,High School,3,5,Highly Urban/ Urban," $6,544.00 ",#REF!
236,64," $61,521.00 ",Yes,Masters,8,9,Highly Urban/ Urban, $-   ,#REF!
237,34," $105,554.00 ",No,Masters,2,20,Highly Urban/ Urban," $7,504.00 ",#REF!
238,52," $147,666.00 ",Yes,Masters,0,17,Highly Rural/ Rural, $-   ,#REF!
239,42," $69,290.00 ",No,Masters,1,11,Highly Urban/ Urban," $1,052.00 ",#REF!
240,45," $2,954.00 ",No,<High School,4,5,Highly Urban/ Urban," $10,099.00 ",#REF!
241,54," $105,762.00 ",No,Masters,2,18,Highly Urban/ Urban, $-   ,#REF!
242,42," $79,185.00 ",Yes,Bachelors,5,1,Highly Urban/ Urban," $6,689.00 ",#REF!
243,56," $111,702.00 ",No,PhD,0,17,Highly Urban/ Urban, $-   ,#REF!
244,59," $5,005.00 ",No,High School,0,4,Highly Urban/ Urban, $-   ,#REF!
245,35," $13,760.00 ",No,High School,3,1,Highly Urban/ Urban," $10,177.00 ",#REF!
246,54," $88,668.00 ",Yes,PhD,1,14,Highly Urban/ Urban," $10,520.00 ",#REF!
247,50," $2,657.00 ",Yes,Masters,2,11,Highly Urban/ Urban," $20,452.00 ",#REF!
248,29," $51,122.00 ",Yes,Bachelors,9,9,Highly Urban/ Urban," $19,030.00 ",#REF!
249,57," $28,123.00 ",No,High School,0,1,Highly Urban/ Urban," $10,231.00 ",#REF!
250,43," $97,953.00 ",No,Bachelors,4,9,Highly Urban/ Urban," $4,784.00 ",#REF!
251,44, $-   ,Yes,Bachelors,2,8,Highly Urban/ Urban," $35,430.00 ",#REF!
252,38," $83,937.00 ",Yes,Bachelors,0,10,Highly Urban/ Urban," $10,851.00 ",#REF!
253,37," $96,188.00 ",No,Bachelors,1,10,Highly Urban/ Urban, $-   ,#REF!
254,55," $17,820.00 ",Yes,Bachelors,3,8,Highly Rural/ Rural," $6,913.00 ",#REF!
255,51," $62,894.00 ",Yes,Bachelors,0,10,Highly Rural/ Rural, $-   ,#REF!
256,42," $68,090.00 ",No,Bachelors,3,12,Highly Urban/ Urban," $9,261.00 ",#REF!
257,45," $25,032.00 ",No,High School,5,1,Highly Rural/ Rural," $5,771.00 ",#REF!
258,54," $52,078.00 ",Yes,Masters,4,18,Highly Urban/ Urban," $5,039.00 ",#REF!
259,48," $22,633.00 ",Yes,Bachelors,0,9,Highly Urban/ Urban, $-   ,#REF!
260,50, $-   ,Yes,<High School,0,1,Highly Rural/ Rural, $-   ,#REF!
261,25," $51,544.00 ",No,High School,8,1,Highly Urban/ Urban," $7,767.00 ",#REF!
262,35," $72,389.00 ",No,PhD,2,10,Highly Urban/ Urban," $8,185.00 ",#REF!
263,29," $73,842.00 ",No,High School,4,1,Highly Urban/ Urban," $4,769.00 ",#REF!
264,45, $-   ,No,<High School,3,1,Highly Urban/ Urban," $41,818.00 ",#REF!
265,37," $80,935.00 ",No,Bachelors,0,9,Highly Urban/ Urban, $663.00 ,#REF!
266,56," $109,521.00 ",Yes,PhD,2,17,Highly Urban/ Urban, $-   ,#REF!
267,45," $71,969.00 ",No,Masters,0,1,Highly Urban/ Urban, $-   ,#REF!
268,48," $69,414.00 ",No,Bachelors,1,10,Highly Rural/ Rural, $-   ,#REF!
269,52," $37,295.00 ",No,<High School,0,1,Highly Rural/ Rural, $-   ,#REF!
270,40," $50,224.00 ",No,High School,6,5,Highly Urban/ Urban," $1,937.00 ",#REF!
271,41," $109,957.00 ",Yes,Masters,1,18,Highly Urban/ Urban, $-   ,#REF!
272,44," $44,141.00 ",Yes,PhD,0,0,Highly Urban/ Urban," $7,401.00 ",#REF!
273,54," $30,388.00 ",No,Masters,0,13,Highly Urban/ Urban," $27,130.00 ",#REF!
274,42," $85,752.00 ",Yes,Masters,2,19,Highly Urban/ Urban, $-   ,#REF!
275,50," $8,345.00 ",Yes,<High School,0,5,Highly Rural/ Rural, $-   ,#REF!
276,38," $10,486.00 ",Yes,<High School,4,5,Highly Urban/ Urban," $5,702.00 ",#REF!
277,36," $33,284.00 ",Yes,High School,0,10,Highly Urban/ Urban, $-   ,#REF!
278,62," $33,713.00 ",Yes,Bachelors,0,15,Highly Urban/ Urban," $41,913.00 ",#REF!
279,47," $144,957.00 ",No,PhD,4,1,Highly Urban/ Urban, $-   ,#REF!
280,46," $79,317.00 ",Yes,High School,7,6,Highly Urban/ Urban," $4,263.00 ",#REF!
281,42," $64,705.00 ",No,Masters,6,19,Highly Urban/ Urban," $10,375.00 ",#REF!
282,33, $-   ,Yes,<High School,3,1,Highly Urban/ Urban," $8,118.00 ",#REF!
283,43," $142,297.00 ",No,PhD,0,14,Highly Urban/ Urban, $-   ,#REF!
284,45," $94,325.00 ",Yes,Masters,2,14,Highly Urban/ Urban, $-   ,#REF!
285,55," $72,337.00 ",Yes,PhD,2,11,Highly Urban/ Urban, $-   ,#REF!
286,27," $1,212.00 ",Yes,High School,2,5,Highly Urban/ Urban, $-   ,#REF!
287,41," $157,237.00 ",No,Masters,0,15,Highly Urban/ Urban, $-   ,#REF!
288,40," $5,322.00 ",Yes,Bachelors,3,1,Highly Urban/ Urban," $5,489.00 ",#REF!
289,57," $51,737.00 ",Yes,High School,1,11,Highly Rural/ Rural, $-   ,#REF!
290,64," $38,020.00 ",Yes,High School,0,3,Highly Urban/ Urban, $-   ,#REF!
291,32," $60,050.00 ",No,High School,2,1,Highly Urban/ Urban," $17,493.00 ",#REF!
292,39," $71,447.00 ",No,Bachelors,0,10,Highly Urban/ Urban, $-   ,#REF!
